time,data_no.,gyro_x,gyro_y,gyro_z,g_x_scaled,g_y_scaled,g_z_scaled,accel_x,accel_y,accel_z,a_x_scaled,a_y_scaled,a_z_scaled,rotation_x,rotation_y
2019-01-28 20:51:36.16,57,-419,262,54,-3.1985,2.0,0.4122,-204,6668,14772,-0.0125,0.407,0.9016,24.2921,0.7211
2019-01-28 20:51:36.27,58,-397,252,61,-3.0305,1.9237,0.4656,-224,6752,14820,-0.0137,0.4121,0.9045,24.4916,0.788
2019-01-28 20:51:36.38,59,-415,256,72,-3.1679,1.9542,0.5496,-88,6680,14632,-0.0054,0.4077,0.8931,24.5379,0.3135
2019-01-28 20:51:36.50,60,-433,257,72,-3.3053,1.9618,0.5496,-112,6756,14836,-0.0068,0.4124,0.9055,24.4829,0.3936
2019-01-28 20:51:36.61,61,-431,250,66,-3.2901,1.9084,0.5038,-184,6816,14792,-0.0112,0.416,0.9028,24.7381,0.6473
2019-01-28 20:51:36.72,62,-401,2,51,-3.0611,0.0153,0.3893,-120,6680,14816,-0.0073,0.4077,0.9043,24.2682,0.423
2019-01-28 20:51:36.83,63,-439,251,58,-3.3511,1.916,0.4427,-164,6420,14924,-0.01,0.3918,0.9109,23.2751,0.5784
2019-01-28 20:51:36.95,64,-420,242,73,-3.2061,1.8473,0.5573,-208,6664,15064,-0.0127,0.4067,0.9194,23.8616,0.7235
2019-01-28 20:51:37.06,65,-423,2,70,-3.229,0.0153,0.5344,-160,6884,14820,-0.0098,0.4202,0.9045,24.9139,0.561
2019-01-28 20:51:37.17,66,-399,249,65,-3.0458,1.9008,0.4962,-176,6672,14820,-0.0107,0.4072,0.9045,24.2359,0.6204
2019-01-28 20:51:37.28,67,-415,262,84,-3.1679,2.0,0.6412,-196,6724,14748,-0.012,0.4104,0.9001,24.5076,0.6928
2019-01-28 20:51:37.40,68,-429,259,74,-3.2748,1.9771,0.5649,-236,6680,14760,-0.0144,0.4077,0.9009,24.3475,0.8346
2019-01-28 20:51:37.51,69,-425,264,50,-3.2443,2.0153,0.3817,-144,6664,14816,-0.0088,0.4067,0.9043,24.2164,0.5078
2019-01-28 20:51:37.62,70,-434,3,53,-3.313,0.0229,0.4046,-212,6736,14816,-0.0129,0.4111,0.9043,24.4464,0.7463
2019-01-28 20:51:37.73,71,-399,13,74,-3.0458,0.0992,0.5649,-40,6788,15088,-0.0024,0.4143,0.9209,24.2226,0.1385
2019-01-28 20:51:37.85,72,-419,272,62,-3.1985,2.0763,0.4733,-228,6708,14908,-0.0139,0.4094,0.9099,24.2233,0.799
2019-01-28 20:51:37.96,73,-427,258,65,-3.2595,1.9695,0.4962,-24,6724,14708,-0.0015,0.4104,0.8977,24.5682,0.085
2019-01-28 20:51:38.07,74,-407,271,94,-3.1069,2.0687,0.7176,-116,6668,14600,-0.0071,0.407,0.8911,24.5461,0.4141
2019-01-28 20:51:38.19,75,-429,245,56,-3.2748,1.8702,0.4275,-168,6412,14792,-0.0103,0.3914,0.9028,23.4343,0.597
2019-01-28 20:51:38.30,76,-404,239,88,-3.084,1.8244,0.6718,-456,6792,15028,-0.0278,0.4146,0.9172,24.311,1.5839
2019-01-28 20:51:38.41,77,-407,13,70,-3.1069,0.0992,0.5344,-140,6740,15052,-0.0085,0.4114,0.9187,24.121,0.4864
2019-01-28 20:51:38.52,78,-417,509,54,-3.1832,3.8855,0.4122,-124,6900,14868,-0.0076,0.4211,0.9075,24.8945,0.4334
2019-01-28 20:51:38.64,79,-437,2,79,-3.3359,0.0153,0.6031,-456,6656,14904,-0.0278,0.4062,0.9097,24.0552,1.6002
2019-01-28 20:51:38.75,80,-419,255,78,-3.1985,1.9466,0.5954,-156,6664,14824,-0.0095,0.4067,0.9048,24.2047,0.5499
2019-01-28 20:51:38.86,81,-397,279,59,-3.0305,2.1298,0.4504,-164,6724,14628,-0.01,0.4104,0.8928,24.6853,0.5836
2019-01-28 20:51:38.97,82,-418,239,70,-3.1908,1.8244,0.5344,-188,6696,14788,-0.0115,0.4087,0.9026,24.3593,0.6635
2019-01-28 20:51:39.09,83,-410,286,75,-3.1298,2.1832,0.5725,-116,6744,14780,-0.0071,0.4116,0.9021,24.5262,0.4091
2019-01-28 20:51:39.21,84,-419,4,71,-3.1985,0.0305,0.542,-68,6468,14944,-0.0042,0.3948,0.9121,23.4035,0.2393
2019-01-28 20:51:39.32,85,-436,257,67,-3.3282,1.9618,0.5115,-104,6880,14796,-0.0063,0.4199,0.9031,24.9374,0.3652
2019-01-28 20:51:39.43,86,-415,266,82,-3.1679,2.0305,0.626,152,6764,14716,0.0093,0.4128,0.8982,24.684,-0.5377
2019-01-28 20:51:39.54,87,-405,242,66,-3.0916,1.8473,0.5038,-240,6736,15080,-0.0146,0.4111,0.9204,24.0669,0.8325
2019-01-28 20:51:39.65,88,-435,506,72,-3.3206,3.8626,0.5496,-124,6772,14692,-0.0076,0.4133,0.8967,24.7457,0.4392
2019-01-28 20:51:39.77,89,-430,279,69,-3.2824,2.1298,0.5267,-192,6664,14792,-0.0117,0.4067,0.9028,24.2504,0.678
2019-01-28 20:51:39.88,90,-406,267,78,-3.0992,2.0382,0.5954,-232,6748,14752,-0.0142,0.4119,0.9004,24.5781,0.8194
2019-01-28 20:51:39.99,91,-442,263,84,-3.374,2.0076,0.6412,-160,6640,14968,-0.0098,0.4053,0.9136,23.9215,0.5598
2019-01-28 20:51:40.11,92,-423,9,71,-3.229,0.0687,0.542,-72,6816,14924,-0.0044,0.416,0.9109,24.5466,0.2514
2019-01-28 20:51:40.22,93,-435,257,60,-3.3206,1.9618,0.458,-192,6436,14764,-0.0117,0.3928,0.9011,23.5518,0.683
2019-01-28 20:51:40.34,94,-429,247,57,-3.2748,1.8855,0.4351,-84,6664,14692,-0.0051,0.4067,0.8967,24.3977,0.2983
2019-01-28 20:51:40.45,95,-430,262,57,-3.2824,2.0,0.4351,-76,6816,14760,-0.0046,0.416,0.9009,24.7867,0.2678
2019-01-28 20:51:40.56,96,-430,260,57,-3.2824,1.9847,0.4351,-144,6736,14696,-0.0088,0.4111,0.897,24.6236,0.5103
2019-01-28 20:51:40.67,97,-434,247,79,-3.313,1.8855,0.6031,-104,6680,15084,-0.0063,0.4077,0.9207,23.8858,0.3612
2019-01-28 20:51:40.77,98,-411,506,50,-3.1374,3.8626,0.3817,-204,6732,14756,-0.0125,0.4109,0.9006,24.5214,0.7206
2019-01-28 20:51:40.88,99,-416,3,49,-3.1756,0.0229,0.374,-180,6644,14900,-0.011,0.4055,0.9094,24.0308,0.6321
2019-01-28 20:51:40.99,100,-425,259,55,-3.2443,1.9771,0.4198,-200,6672,14744,-0.0122,0.4072,0.8999,24.3459,0.708
2019-01-28 20:51:41.09,101,-392,269,55,-2.9924,2.0534,0.4198,-48,6700,14704,-0.0029,0.4089,0.8975,24.4967,0.1702
2019-01-28 20:51:41.20,102,-426,269,90,-3.2519,2.0534,0.687,-136,6612,14840,-0.0083,0.4036,0.9058,24.0146,0.4796
2019-01-28 20:51:41.31,103,-435,234,63,-3.3206,1.7863,0.4809,-188,6748,14924,-0.0115,0.4119,0.9109,24.3288,0.6576
2019-01-28 20:51:41.43,104,-425,508,69,-3.2443,3.8779,0.5267,-116,6900,14612,-0.0071,0.4211,0.8918,25.2767,0.4113
2019-01-28 20:51:41.54,105,-436,277,58,-3.3282,2.1145,0.4427,-128,6764,14800,-0.0078,0.4128,0.9033,24.5609,0.4507
2019-01-28 20:51:41.65,106,-413,278,54,-3.1527,2.1221,0.4122,-88,6752,14892,-0.0054,0.4121,0.9089,24.3891,0.3084
